"No.","Time","Source","Destination","Protocol","Length","Info"
"8095","11:57:11.497239464","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8096","11:57:11.497369725","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8097","11:57:11.497477005","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39697 Ack=4211880 Win=65536 Len=0"
"8098","11:57:11.497477090","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8099","11:57:11.497579040","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8100","11:57:11.497689385","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39736 Ack=4216058 Win=65536 Len=0"
"8101","11:57:11.497689466","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8102","11:57:11.497802459","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8103","11:57:11.497906315","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39775 Ack=4220236 Win=65536 Len=0"
"8104","11:57:11.497906380","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8105","11:57:11.498075677","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8106","11:57:11.498178635","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39814 Ack=4224414 Win=65536 Len=0"
"8107","11:57:11.498178712","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
